accession	strain	collection_date	country	host
NZ_CP018109	MRSN346595	2016	USA	Homo sapiens
NZ_CP018109	MRSN346595	2016	USA	Homo sapiens
NZ_CP018109	MRSN346595	2016	USA	Homo sapiens
NZ_CP018109	MRSN346595	2016	USA	Homo sapiens
NZ_CP017844	FMU073332	1987	Mexico	Homo sapiens
NZ_CP017844	FMU073332	1987	Mexico	Homo sapiens
NZ_CP017844	FMU073332	1987	Mexico	Homo sapiens
NZ_CP017844	FMU073332	1987	Mexico	Homo sapiens
NZ_CP017844	FMU073332	1987	Mexico	Homo sapiens
NZ_CP018237	155	2012	United Kingdom	Homo sapiens
NZ_CP018237	155	2012	United Kingdom	Homo sapiens
NZ_CP018239	272	2013	United Kingdom	Homo sapiens
NZ_CP018239	272	2013	United Kingdom	Homo sapiens
NZ_CP018243	350	2011	United Kingdom	Homo sapiens
NZ_CP018243	350	2011	United Kingdom	Homo sapiens
NZ_CP018252	9000	2002	United Kingdom	unknown
NZ_CP018252	9000	2002	United Kingdom	unknown
NZ_CP018247	7784	2002	United Kingdom	unknown
NZ_CP018247	7784	2002	United Kingdom	unknown
NZ_CP018250	10671	2002	United Kingdom	unknown
NZ_CP018250	10671	2002	United Kingdom	unknown
NZ_CP018206	MRSN346647	2016	USA	Homo sapiens
NZ_CP018206	MRSN346647	2016	USA	Homo sapiens
NZ_CP018206	MRSN346647	2016	USA	Homo sapiens
NZ_CP010116	C1	2014	unknown	cow
NZ_CP010132	C10	2014	unknown	cow
NZ_CP010133	C11	2014	unknown	cow
NZ_CP010150	D7	2014	unknown	dog
NZ_CP010169	H5	2014	unknown	unknown
NZ_CP010170	H6	2014	unknown	unknown
NZ_CP010171	H7	2014	unknown	unknown
NZ_CP010117	C2	2014	unknown	cow
NZ_CP010117	C2	2014	unknown	cow
NZ_CP010119	C3	2014	unknown	cow
NZ_CP010119	C3	2014	unknown	cow
NZ_CP010122	C5	2014	unknown	cow
NZ_CP010122	C5	2014	unknown	cow
NZ_CP010122	C5	2014	unknown	cow
NZ_CP010129	C9	2014	unknown	cow
NZ_CP010129	C9	2014	unknown	cow
NZ_CP010129	C9	2014	unknown	cow
NZ_CP010134	D1	2014	unknown	dog
NZ_CP010134	D1	2014	unknown	dog
NZ_CP010134	D1	2014	unknown	dog
NZ_CP010137	D2	2014	unknown	dog
NZ_CP010137	D2	2014	unknown	dog
NZ_CP010137	D2	2014	unknown	dog
NZ_CP010143	D4	2014	unknown	dog
NZ_CP010143	D4	2014	unknown	dog
NZ_CP010145	D5	2014	unknown	dog
NZ_CP010145	D5	2014	unknown	dog
NZ_CP010145	D5	2014	unknown	dog
NZ_CP010148	D6	2014	unknown	dog
NZ_CP010148	D6	2014	unknown	dog
NZ_CP010157	D10	2014	unknown	dog
NZ_CP010157	D10	2014	unknown	dog
NZ_CP010157	D10	2014	unknown	dog
NZ_CP010160	H1	2014	unknown	unknown
NZ_CP010160	H1	2014	unknown	unknown
NZ_CP010160	H1	2014	unknown	unknown
NZ_CP010163	H2	2014	unknown	unknown
NZ_CP010163	H2	2014	unknown	unknown
NZ_CP010163	H2	2014	unknown	unknown
NZ_CP010163	H2	2014	unknown	unknown
NZ_CP010172	H8	2014	unknown	unknown
NZ_CP010172	H8	2014	unknown	unknown
NZ_CP010172	H8	2014	unknown	unknown
NZ_CP010172	H8	2014	unknown	unknown
NZ_CP010177	H14	2014	unknown	unknown
NZ_CP010228	S3	2014	unknown	unknown
NZ_CP010235	S40	2014	unknown	unknown
NZ_CP010236	S42	2014	unknown	unknown
NZ_CP010237	S43	2014	unknown	unknown
NZ_CP010180	M1	2014	unknown	mouse
NZ_CP010180	M1	2014	unknown	mouse
NZ_CP010180	M1	2014	unknown	mouse
NZ_CP010183	M3	2014	unknown	mouse
NZ_CP010183	M3	2014	unknown	mouse
NZ_CP010183	M3	2014	unknown	mouse
NZ_CP010186	M6	2014	unknown	mouse
NZ_CP010186	M6	2014	unknown	mouse
NZ_CP010186	M6	2014	unknown	mouse
NZ_CP010186	M6	2014	unknown	mouse
NZ_CP010186	M6	2014	unknown	mouse
NZ_CP010196	M9	2014	unknown	mouse
NZ_CP010196	M9	2014	unknown	mouse
NZ_CP010196	M9	2014	unknown	mouse
NZ_CP010196	M9	2014	unknown	mouse
NZ_CP010200	M10	2014	unknown	mouse
NZ_CP010200	M10	2014	unknown	mouse
NZ_CP010200	M10	2014	unknown	mouse
NZ_CP010200	M10	2014	unknown	mouse
NZ_CP010200	M10	2014	unknown	mouse
NZ_CP010200	M10	2014	unknown	mouse
NZ_CP010206	M11	2014	unknown	mouse
NZ_CP010206	M11	2014	unknown	mouse
NZ_CP010206	M11	2014	unknown	mouse
NZ_CP010206	M11	2014	unknown	mouse
